name,description,price,category,vegetarian,spicy,containsNuts,imageUrl,nameZh
Mixed Hors D'Oeuvres,"Sesame Prawn on Toast, Vegetarian Mini Rolls, Spare Ribs, Satay Chicken, Crispy Seaweed",6.90,Starters,false,false,true,https://tse2.mm.bing.net/th/id/OIP.Qka7o53F5X1NG-zyfmTMwAHaCq?r=0&pid=Api&h=220&P=0,什锦前菜拼盘
Quarter Crispy Aromatic Duck,"Served with Spring Onions, Cucumber, Pancakes (6) & Hoi Sin Sauce",11.80,Starters,false,false,false,https://tse1.mm.bing.net/th/id/OIP.xkUSpzJLERogQJPG1YSCKAHaFm?r=0&pid=Api&h=220&P=0,四分之一香酥鸭
Half Crispy Aromatic Duck,"Served with Spring Onions, Cucumber, Pancakes (12) & Hoi Sin Sauce",18.90,Starters,false,false,false,https://tse1.mm.bing.net/th/id/OIP.xkUSpzJLERogQJPG1YSCKAHaFm?r=0&pid=Api&h=220&P=0,半只香酥鸭
Whole Crispy Aromatic Duck,"Served with Spring Onions, Cucumber, Pancakes (24) & Hoi Sin Sauce",30.90,Starters,false,false,false,https://tse1.mm.bing.net/th/id/OIP.xkUSpzJLERogQJPG1YSCKAHaFm?r=0&pid=Api&h=220&P=0,全只香酥鸭
Crispy Aromatic Lamb,"Served with Spring Onions, Cucumber, Pancakes (6) & Hoi Sin Sauce",11.80,Starters,false,false,false,,香酥羊肉
Crispy Seaweed,,4.80,Starters,false,false,false,https://tse1.mm.bing.net/th/id/OIP.7C-o1D4EXTP1U7Z4mYbcngHaGE?r=0&pid=Api&h=220&P=0,香脆海藻
Spring Rolls (2),Contains pork and shrimp,4.50,Starters,false,false,false,https://tse3.mm.bing.net/th/id/OIP.8KcpioANaDyCbQlSq2F_uQHaEJ?r=0&pid=Api&h=220&P=0,春卷(2件)
Mixed Meat Rolls (3),,4.80,Starters,false,false,false,,什锦肉卷(3件)
Vegetarian Mini Spring Rolls (10), ,4.50,Starters,true,false,false,https://tse3.mm.bing.net/th/id/OIP.bnn5UfOFDWu9tARq4n8G6gHaHa?r=0&pid=Api&h=220&P=0,迷你斋春卷(10件)
Satay Chicken (4), ,6.80,Starters,false,true,true,https://tse2.mm.bing.net/th/id/OIP.Z127psyQbXyNz2bFAZkYhwHaE7?r=0&pid=Api&h=220&P=0,沙嗲鸡(4件)
Spare Ribs with Honey Sauce, ,7.30,Starters,false,false,false,,蜜汁排骨
Dumpling (6),,6.50,Starters,false,false,false,https://tse1.mm.bing.net/th/id/OIP.O2u58sDMQWdxX5ydT_UpDwHaE8?r=0&pid=Api&h=220&P=0,饺子(6件)
Sesame Prawn on Toast (8), ,6.80,Starters,false,false,false,https://tse2.mm.bing.net/th/id/OIP.WnAuhLk-Ph7CYcpcC3aEJgHaHa?r=0&pid=Api&h=220&P=0,芝麻虾多士(8件)
Captial Spare Ribs, ,7.30,Starters,false,false,false,,京都排骨
Salt & Pepper Spare Ribs, ,7.30,Starters,false,true,false,https://tse4.mm.bing.net/th/id/OIP.1FhqTWoUtRUDVH3-mBUhnwHaE8?r=0&pid=Api&h=220&P=0,椒盐排骨
Barbecued Spare Ribs, ,7.30,Starters,false,false,false,https://tse4.mm.bing.net/th/id/OIP.PuJypLT8z5MuzmSurKGMlwHaEK?r=0&pid=Api&h=220&P=0,烧烤排骨
Smoked Chicken, ,6.80,Starters,false,true,false,,烟熏鸡
Salt & Pepper Squid, ,7.50,Starters,false,true,false,,椒盐鱿鱼
Salt & Pepper Prawns (10), ,7.50,Starters,false,true,false,https://tse4.mm.bing.net/th/id/OIP.6Zso4TM5_deZSYfoM1E5xgHaEU?r=0&pid=Api&h=220&P=0,椒盐虾(10件)
Salt & Pepper Tofu/Bean Curd, ,6.00,Starters,true,true,false,,椒盐豆腐
Butterfly King Prawn (8), Comes with sweet & sour sauce,7.20,Starters,false,false,false,https://tse3.mm.bing.net/th/id/OIP.rnFAVs4zlqaMHsHkWkazswHaHa?r=0&pid=Api&h=220&P=0,蝴蝶大虾(8件)
Deep Fried Chicken Wings, ,5.90,Starters,false,true,false,,炸鸡翅
Salt & Pepper Chicken Wings, ,5.90,Starters,false,true,false,https://tse2.mm.bing.net/th/id/OIP.b_3RWDEbpWeOrVNb_fG_4gHaHa?r=0&pid=Api&h=220&P=0,椒盐鸡翅
Curry Samosas (10), Comes with curry sauce,4.60,Starters,false,true,false,,咖喱角(10件)
Salt & Pepper Pork, ,6.80,Starters,false,true,false,,椒盐猪肉
Salt & peppers Chicken, ,6.80,Starters,false,true,false,https://tse2.mm.bing.net/th/id/OIP.GgO3FzLvMWUCDD6BvtXs4AHaIq?r=0&pid=Api&h=220&P=0,椒盐鸡
Prawn Crackers, ,2.50,Starters,false,false,false,,虾片
Chicken & Sweetcorn Soup, ,3.80,Soups,false,false,false,https://tse3.mm.bing.net/th/id/OIP.8lUyLr7_VR-uFqAtzLUiswHaHa?r=0&pid=Api&h=220&P=0,鸡蓉粟米汤
Crabmeat & Sweetcorn Soup, ,3.80,Soups,false,false,false,,蟹肉粟米汤
Chicken & Noodles Soup, ,3.80,Soups,false,false,false,,鸡丝面汤
Chicken & Mushroom Soup, ,3.80,Soups,false,false,false,,鸡菇汤
Hot & Sour Soup, ,4.10,Soups,false,true,false,https://tse3.mm.bing.net/th/id/OIP.-Hf5M947tdRGWWCAtNQcowHaFW?r=0&pid=Api&h=220&P=0,酸辣汤
Vegetarian Hot & Sour Soup, ,3.60,Soups,false,false,false,,斋酸辣汤
Won Ton Soup, ,5.10,Soups,false,false,false,https://tse4.mm.bing.net/th/id/OIP.ENV2zWfeKEXqOAvzZ3BDSgHaJQ?r=0&pid=Api&h=220&P=0,云吞汤
Roast Pork & Chicken on Boiled Rice in BBQ sauce, ,7.50,Rice Dishes (In Large Container),false,false,false,,叉烧油鸡白饭
Roast Pork & Chicken on Fried Rice in BBQ sauce, ,7.50,Rice Dishes (In Large Container),false,false,false,,叉烧油鸡炒饭
Roast Pork on Boiled Rice in BBQ sauce, ,7.50,Rice Dishes (In Large Container),false,false,false,,叉烧白饭
Roast Pork on Fried Rice in BBQ sauce, ,7.50,Rice Dishes (In Large Container),false,false,false,,叉烧炒饭
Roast Chicken on Boiled Rice in BBQ sauce, ,7.50,Rice Dishes (In Large Container),false,false,false,,油鸡白饭
Roast Chicken on Fried Rice in BBQ sauce, ,7.50,Rice Dishes (In Large Container),false,false,false,,油鸡炒饭
Roast Duck on Boiled Rice in BBQ sauce, ,7.90,Rice Dishes (In Large Container),false,false,false,,烧鸭白饭
Roast Duck on Fried Rice in BBQ sauce, ,7.90,Rice Dishes (In Large Container),false,false,false,,烧鸭炒饭
Roast Duck Fried Rice, ,7.50,Rice Dishes (In Large Container),false,false,false,,烧鸭炒饭
House Special on Boiled Rice,in sauce,7.60,Rice Dishes (In Large Container),false,false,false,,什锦白饭
House Special on Fried Rice,in sauce,7.60,Rice Dishes (In Large Container),false,false,false,,什锦炒饭
Yeung Chow/Special Fried Rice, ,6.20,Rice Dishes (In Large Container),false,false,false,https://tse2.mm.bing.net/th/id/OIP.8eQ-jm0uCqJoi46bfSWMjQHaHa?r=0&pid=Api&h=220&P=0,扬州炒饭
Thai Style Special Friend Rice, ,6.80,Rice Dishes (In Large Container),false,false,false,,泰式炒饭
Chicken Fried Rice, ,6.10,Rice Dishes (In Large Container),false,false,false,https://tse2.mm.bing.net/th/id/OIP.I5-H59-kfmEr2qWAbLtKpAHaEg?r=0&pid=Api&h=220&P=0,鸡炒饭
Thai Style Chicken Fried Rice, ,6.80,Rice Dishes (In Large Container),false,false,false,,泰式鸡炒饭
Beef Fried Rice, ,6.20,Rice Dishes (In Large Container),false,false,false,,牛肉炒饭
Thai Style Fried Rice, ,6.90,Rice Dishes (In Large Container),false,false,false,,泰式什锦炒饭
Roast Pork Fried Rice, ,6.10,Rice Dishes (In Large Container),false,false,false,,叉烧炒饭
Thai Style Pork Fried Rice, ,6.80,Rice Dishes (In Large Container),false,false,false,,泰式叉烧炒饭
King Prawns Fried Rice, ,6.90,Rice Dishes (In Large Container),false,false,false,https://tse3.mm.bing.net/th/id/OIP.uga9UvBejz9EdZXXzc24sAHaEg?r=0&pid=Api&h=220&P=0,大虾炒饭
Thai Style King Prawn Fried Rice, ,7.40,Rice Dishes (In Large Container),false,false,false,,泰式大虾炒饭
Shrimp Fried Rice, ,6.50,Rice Dishes (In Large Container),false,false,false,,虾仁炒饭
Singapore Style Fried Rice, ,6.90,Rice Dishes (In Large Container),false,true,false,https://tse2.mm.bing.net/th/id/OIP.nZoaMeBN9TpeYuEyaecUVgHaE8?r=0&pid=Api&h=220&P=0,星洲炒饭
Egg Fried Rice,Large,4.90,Rice Dishes (In Large Container),true,false,false,https://tse4.mm.bing.net/th/id/OIP.Bt9cV7AspDgCzAQmSK0hpgHaHa?r=0&pid=Api&h=220&P=0,蛋炒饭
Egg Fried Rice,Small,4.30,Rice Dishes (In Large Container),true,false,false,https://tse4.mm.bing.net/th/id/OIP.Bt9cV7AspDgCzAQmSK0hpgHaHa?r=0&pid=Api&h=220&P=0,蛋炒饭
Thai Style Egg Fried Rice, ,5.80,Rice Dishes (In Large Container),true,false,false,,泰式蛋炒饭
Mixed Vegetables on Boiled Rice, Comes in sauce,6.70,Rice Dishes (In Large Container),true,false,false,,杂菜白饭
Mixed Vegetables on Fried Rice, Comes in sauce,6.70,Rice Dishes (In Large Container),false,false,false,,杂菜炒饭
Boiled Rice,Small,4.30,Rice Dishes (In Large Container),true,false,false,,白饭
Pineapple Fried Rice, ,5.50,Rice Dishes (In Large Container),true,false,false,,菠萝炒饭
Chicken & Pineapple Fried Rice, ,6.50,Rice Dishes (In Large Container),false,false,false,,鸡肉菠萝炒饭
Beef & Pineapple Fried Rice, ,6.50,Rice Dishes (In Large Container),false,false,false,,牛肉菠萝炒饭
Roast Pork & Pineapple Fried Rice, ,6.50,Rice Dishes (In Large Container),false,false,false,,叉烧菠萝炒饭
King Prawn & Pineapple Fried Rice, ,7.10,Rice Dishes (In Large Container),false,false,false,,大虾菠萝炒饭
Shrip & Pineapple Fried Rice, ,6.80,Rice Dishes (In Large Container),false,false,false,,虾仁菠萝炒饭
Roast Pork & Chicken on ChowMein in BBQ sauce, ,7.50,Noodles Dishes (In Large Container),false,false,false,,叉烧油鸡炒面
Roast Pork on ChowMein in BBQ sauce, ,7.50,Noodles Dishes (In Large Container),false,false,false,,叉烧炒面
Chicken on ChowMein in BBQ sauce, ,7.50,Noodles Dishes (In Large Container),false,false,false,,油鸡炒面
